Country,Cases,Status,Daily_cases,date,day,month,year,quarter,year/month
Singapore,0,confirmed,,20-01-22,22,1,2020,1,20-01
Singapore,1,confirmed,1.0,20-01-23,23,1,2020,1,20-01
Singapore,3,confirmed,2.0,20-01-24,24,1,2020,1,20-01
Singapore,3,confirmed,0.0,20-01-25,25,1,2020,1,20-01
Singapore,4,confirmed,1.0,20-01-26,26,1,2020,1,20-01
Singapore,5,confirmed,1.0,20-01-27,27,1,2020,1,20-01
Singapore,7,confirmed,2.0,20-01-28,28,1,2020,1,20-01
Singapore,7,confirmed,0.0,20-01-29,29,1,2020,1,20-01
Singapore,10,confirmed,3.0,20-01-30,30,1,2020,1,20-01
Singapore,13,confirmed,3.0,20-01-31,31,1,2020,1,20-01
Singapore,16,confirmed,3.0,20-02-01,1,2,2020,1,20-02
Singapore,18,confirmed,2.0,20-02-02,2,2,2020,1,20-02
Singapore,18,confirmed,0.0,20-02-03,3,2,2020,1,20-02
Singapore,24,confirmed,6.0,20-02-04,4,2,2020,1,20-02
Singapore,28,confirmed,4.0,20-02-05,5,2,2020,1,20-02
Singapore,28,confirmed,0.0,20-02-06,6,2,2020,1,20-02
Singapore,30,confirmed,2.0,20-02-07,7,2,2020,1,20-02
Singapore,33,confirmed,3.0,20-02-08,8,2,2020,1,20-02
Singapore,40,confirmed,7.0,20-02-09,9,2,2020,1,20-02
Singapore,45,confirmed,5.0,20-02-10,10,2,2020,1,20-02
Singapore,47,confirmed,2.0,20-02-11,11,2,2020,1,20-02
Singapore,50,confirmed,3.0,20-02-12,12,2,2020,1,20-02
Singapore,58,confirmed,8.0,20-02-13,13,2,2020,1,20-02
Singapore,67,confirmed,9.0,20-02-14,14,2,2020,1,20-02
Singapore,72,confirmed,5.0,20-02-15,15,2,2020,1,20-02
Singapore,75,confirmed,3.0,20-02-16,16,2,2020,1,20-02
Singapore,77,confirmed,2.0,20-02-17,17,2,2020,1,20-02
Singapore,81,confirmed,4.0,20-02-18,18,2,2020,1,20-02
Singapore,84,confirmed,3.0,20-02-19,19,2,2020,1,20-02
Singapore,84,confirmed,0.0,20-02-20,20,2,2020,1,20-02
Singapore,85,confirmed,1.0,20-02-21,21,2,2020,1,20-02
Singapore,85,confirmed,0.0,20-02-22,22,2,2020,1,20-02
Singapore,89,confirmed,4.0,20-02-23,23,2,2020,1,20-02
Singapore,89,confirmed,0.0,20-02-24,24,2,2020,1,20-02
Singapore,91,confirmed,2.0,20-02-25,25,2,2020,1,20-02
Singapore,93,confirmed,2.0,20-02-26,26,2,2020,1,20-02
Singapore,93,confirmed,0.0,20-02-27,27,2,2020,1,20-02
Singapore,93,confirmed,0.0,20-02-28,28,2,2020,1,20-02
Singapore,102,confirmed,9.0,20-02-29,29,2,2020,1,20-02
Singapore,106,confirmed,4.0,20-03-01,1,3,2020,1,20-03
Singapore,108,confirmed,2.0,20-03-02,2,3,2020,1,20-03
Singapore,110,confirmed,2.0,20-03-03,3,3,2020,1,20-03
Singapore,110,confirmed,0.0,20-03-04,4,3,2020,1,20-03
Singapore,117,confirmed,7.0,20-03-05,5,3,2020,1,20-03
Singapore,130,confirmed,13.0,20-03-06,6,3,2020,1,20-03
Singapore,138,confirmed,8.0,20-03-07,7,3,2020,1,20-03
Singapore,150,confirmed,12.0,20-03-08,8,3,2020,1,20-03
Singapore,150,confirmed,0.0,20-03-09,9,3,2020,1,20-03
Singapore,160,confirmed,10.0,20-03-10,10,3,2020,1,20-03
Singapore,178,confirmed,18.0,20-03-11,11,3,2020,1,20-03
Singapore,178,confirmed,0.0,20-03-12,12,3,2020,1,20-03
Singapore,200,confirmed,22.0,20-03-13,13,3,2020,1,20-03
Singapore,212,confirmed,12.0,20-03-14,14,3,2020,1,20-03
Singapore,226,confirmed,14.0,20-03-15,15,3,2020,1,20-03
Singapore,243,confirmed,17.0,20-03-16,16,3,2020,1,20-03
Singapore,266,confirmed,23.0,20-03-17,17,3,2020,1,20-03
Singapore,313,confirmed,47.0,20-03-18,18,3,2020,1,20-03
Singapore,345,confirmed,32.0,20-03-19,19,3,2020,1,20-03
Singapore,385,confirmed,40.0,20-03-20,20,3,2020,1,20-03
Singapore,432,confirmed,47.0,20-03-21,21,3,2020,1,20-03
Singapore,455,confirmed,23.0,20-03-22,22,3,2020,1,20-03
Singapore,509,confirmed,54.0,20-03-23,23,3,2020,1,20-03
Singapore,558,confirmed,49.0,20-03-24,24,3,2020,1,20-03
Singapore,631,confirmed,73.0,20-03-25,25,3,2020,1,20-03
Singapore,683,confirmed,52.0,20-03-26,26,3,2020,1,20-03
Singapore,732,confirmed,49.0,20-03-27,27,3,2020,1,20-03
Singapore,802,confirmed,70.0,20-03-28,28,3,2020,1,20-03
Singapore,844,confirmed,42.0,20-03-29,29,3,2020,1,20-03
Singapore,879,confirmed,35.0,20-03-30,30,3,2020,1,20-03
Singapore,926,confirmed,47.0,20-03-31,31,3,2020,1,20-03
Singapore,1000,confirmed,74.0,20-04-01,1,4,2020,2,20-04
Singapore,1049,confirmed,49.0,20-04-02,2,4,2020,2,20-04
Singapore,1114,confirmed,65.0,20-04-03,3,4,2020,2,20-04
Singapore,1189,confirmed,75.0,20-04-04,4,4,2020,2,20-04
Singapore,1309,confirmed,120.0,20-04-05,5,4,2020,2,20-04
Singapore,1375,confirmed,66.0,20-04-06,6,4,2020,2,20-04
Singapore,1481,confirmed,106.0,20-04-07,7,4,2020,2,20-04
Singapore,1623,confirmed,142.0,20-04-08,8,4,2020,2,20-04
Singapore,1910,confirmed,287.0,20-04-09,9,4,2020,2,20-04
Singapore,2108,confirmed,198.0,20-04-10,10,4,2020,2,20-04
Singapore,2299,confirmed,191.0,20-04-11,11,4,2020,2,20-04
Singapore,2532,confirmed,233.0,20-04-12,12,4,2020,2,20-04
Singapore,2918,confirmed,386.0,20-04-13,13,4,2020,2,20-04
Singapore,3252,confirmed,334.0,20-04-14,14,4,2020,2,20-04
Singapore,3699,confirmed,447.0,20-04-15,15,4,2020,2,20-04
Singapore,4427,confirmed,728.0,20-04-16,16,4,2020,2,20-04
Singapore,5050,confirmed,623.0,20-04-17,17,4,2020,2,20-04
Singapore,5992,confirmed,942.0,20-04-18,18,4,2020,2,20-04
